,r_doe,L_doe,k_doe,d_doe,power,efficiency,LCOE
0,8,60,400,300,820.5469116440842,0.8986038029195343,3.497055073881877
1,8,90,600,500,1227.3989735489843,0.8971711093536536,2.341541665494105
2,8,30,200,100,411.1928472354324,0.899547573195625,6.971268954142602
3,12,60,600,500,738.0952897982364,0.8987442128195835,3.8872282755581606
4,4,60,600,500,583.3641793302412,0.8990076407743559,4.916553926986387
5,12,30,400,500,492.6080869479466,0.8994579665056145,5.819849750806965
6,4,90,400,100,390.20903460510357,0.8991019277831377,7.349510852340104
7,12,30,200,300,246.3843587768287,0.8997289360447495,11.632457791495153
8,4,90,600,300,584.0060354663727,0.8986554602130555,4.913043893659249
9,12,90,200,100,246.23265354121546,0.8994334295353928,11.64338665580669
10,4,30,600,500,583.5914088607839,0.899357818401652,4.9127569587735955
11,12,30,600,100,738.035472459027,0.8991877913687536,3.8856566881896466
12,4,90,200,500,194.66818561677343,0.8995521160985769,14.724714778522324
13,12,90,200,500,246.37414861055217,0.8994331038260154,11.63670389116298
14,4,30,600,100,585.3342252700874,0.8993558999209136,4.898139640805704
15,12,90,600,100,737.3084946256029,0.8983020756859648,3.8932606312569487
16,4,30,200,500,194.71875260515142,0.8997857836660639,14.717129835928686
